battery_id,policy,C1,Q1,C2,mean_chargetime,t12_model,t3_est
21,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,10.2959345772059,9.992236024844722,0.30369855236117793
22,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,10.2544309470103,9.996677740863788,0.2577532061465124
23,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,10.2880135787321,9.992236024844722,0.2957775538873779
24,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,10.2485632672112,9.996677740863788,0.25188552634741157
25,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80.0,4.8,11.1423314253717,10.000000000000002,1.1423314253716974
26,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,10.156982147387,10.013207547169813,0.1437746002171867
27,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,10.2198757714701,9.992236024844722,0.22763974662537834
28,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,10.2056660384171,9.996677740863788,0.2089882975533115
29,5C_67PER_4C_NEWSTRUCTURE,5.0,67.0,4.0,10.1844151334154,9.990000000000002,0.19441513341539718
30,3_7C_31PER_5_9C_NEWSTRUCTURE,3.7,31.0,5.9,10.8033723951577,10.010077874484654,0.7932945206730455
31,5C_67PER_4C_NEWSTRUCTURE,5.0,67.0,4.0,10.1645542677994,9.990000000000002,0.17455426779939742
32,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,10.1516542560729,10.013207547169813,0.1384467089030874
33,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,10.2456923677378,9.992236024844722,0.2534563428930774
34,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,10.2173661484099,9.996677740863788,0.22068840754611152
35,3_7C_31PER_5_9C_NEWSTRUCTURE,3.7,31.0,5.9,10.9003622808642,10.010077874484654,0.8902844063795463
36,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,10.1718277480371,10.013207547169813,0.15862020086728634
37,5C_67PER_4C_NEWSTRUCTURE,5.0,67.0,4.0,10.1144099012732,9.990000000000002,0.12440990127319829
38,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,10.1409416436186,10.013207547169813,0.12773409644878697
39,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,10.2255189026251,9.992236024844722,0.23328287778037726
40,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,10.1933407266812,9.996677740863788,0.1966629858174116
41,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80.0,4.8,11.1030957823375,10.000000000000002,1.1030957823374976
42,5C_67PER_4C_NEWSTRUCTURE,5.0,67.0,4.0,10.1268713745261,9.990000000000002,0.13687137452609832
43,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,10.1135283477634,10.013207547169813,0.10032080059358783
44,5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,10.275761475891,9.992236024844722,0.2835254510462786
45,5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,10.2448038980892,9.996677740863788,0.2481261572254123
46,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80.0,4.8,11.1688661019703,10.000000000000002,1.1688661019702984
47,5C_67PER_4C_NEWSTRUCTURE,5.0,67.0,4.0,10.1793261977671,9.990000000000002,0.18932619776709814
48,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,10.1638524955626,10.013207547169813,0.1506449483927863
49,4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80.0,4.8,11.1468243490742,10.000000000000002,1.1468243490741976
