match_id,competition,stage,group_id,round_in_group,team_a,team_b,venue,city,country,date,local_kickoff_time,utc_datetime,goals_a,goals_b,source_url,retrieval_date
WC22_038,World Cup,Group,G,1,Brazil,Serbia,Lusail,Lusail,Qatar,2022-11-24,22:00,2022-11-24 19:00,2,0,https://www.fifa.com/fifaplus/en/tournaments/mens/worldcup/qatar2022,2026-08-14
WC22_039,World Cup,Group,G,2,Cameroon,Serbia,Al Janoub,Al Wakrah,Qatar,2022-11-28,10:00,2022-11-28 07:00,3,3,https://www.fifa.com/fifaplus/en/tournaments/mens/worldcup/qatar2022,2026-08-14
WC22_040,World Cup,Group,G,2,Brazil,Switzerland,Stadium 974,Doha,Qatar,2022-11-28,13:00,2022-11-28 10:00,1,0,https://www.fifa.com/fifaplus/en/tournaments/mens/worldcup/qatar2022,2026-08-14
WC22_041,World Cup,Group,G,3,Serbia,Switzerland,Stadium 974,Doha,Qatar,2022-12-02,22:00,2022-12-02 19:00,2,3,https://www.fifa.com/fifaplus/en/tournaments/mens/worldcup/qatar2022,2026-08-14
WC22_042,World Cup,Group,G,3,Cameroon,Brazil,Lusail,Lusail,Qatar,2022-12-02,22:00,2022-12-02 19:00,1,0,https://www.fifa.com/fifaplus/en/tournaments/mens/worldcup/qatar2022,2026-08-14
WC22_043,World Cup,Group,H,1,Uruguay,South Korea,Education City,Al Rayyan,Qatar,2022-11-24,16:00,2022-11-24 13:00,0,0,https://www.fifa.com/fifaplus/en/tournaments/mens/worldcup/qatar2022,2026-08-14
WC22_044,World Cup,Group,H,1,Portugal,Ghana,Stadium 974,Doha,Qatar,2022-11-24,19:00,2022-11-24 16:00,3,2,https://www.fifa.com/fifaplus/en/tournaments/mens/worldcup/qatar2022,2026-08-14
WC22_045,World Cup,Group,H,2,South Korea,Ghana,Education City,Al Rayyan,Qatar,2022-11-28,16:00,2022-11-28 13:00,2,3,https://www.fifa.com/fifaplus/en/tournaments/mens/worldcup/qatar2022,2026-08-14
WC22_046,World Cup,Group,H,2,Portugal,Uruguay,Lusail,Lusail,Qatar,2022-11-28,22:00,2022-11-28 19:00,2,0,https://www.fifa.com/fifaplus/en/tournaments/mens/worldcup/qatar2022,2026-08-14
WC22_047,World Cup,Group,H,3,South Korea,Portugal,Education City,Al Rayyan,Qatar,2022-12-02,18:00,2022-12-02 15:00,2,1,https://www.fifa.com/fifaplus/en/tournaments/mens/worldcup/qatar2022,2026-08-14
WC22_048,World Cup,Group,H,3,Ghana,Uruguay,Al Janoub,Al Wakrah,Qatar,2022-12-02,18:00,2022-12-02 15:00,0,2,https://www.fifa.com/fifaplus/en/tournaments/mens/worldcup/qatar2022,2026-08-14
