battery_id,policy,life_linear,life_exp,life_ensemble,life_mean,n_models,boot_ci_lo,boot_ci_hi,boot_median
23,5_6C_19PER_4_6C_NEWSTRUCTURE,6081.235499829514,6740.787509391154,6411.011504610335,6411.011504610335,2,5666.195459608999,6517.315039625278,6062.803656350437
24,5_6C_36PER_4_3C_NEWSTRUCTURE,22350.878183821234,24958.954870798152,23654.916527309695,23654.916527309695,2,16215.835439301933,35504.84398585787,22375.72539954869
25,4_8C_80PER_4_8C_NEWSTRUCTURE,13127.22512629088,14633.295297769413,13880.260212030145,13880.260212030145,2,11364.251363947911,15151.40098878289,13164.358278161175
26,5_3C_54PER_4C_NEWSTRUCTURE,9453.984922329579,10558.135391570722,10006.06015695015,10006.06015695015,2,8872.105672160698,10166.478316041143,9442.400615585473
27,5_6C_19PER_4_6C_NEWSTRUCTURE,6139.144894909498,6814.274267257162,6476.709581083331,6476.709581083331,2,5938.232257685621,6330.011820776072,6129.913793409895
28,5_6C_36PER_4_3C_NEWSTRUCTURE,6097.24614951426,6764.993150776854,6431.119650145557,6431.119650145557,2,5925.834570097041,6287.784847857577,6094.059294563282
29,5C_67PER_4C_NEWSTRUCTURE,8772.53896616325,9743.935869266552,9258.237417714901,9258.237417714901,2,8136.863771611938,9504.58549719026,8774.522616001199
30,3_7C_31PER_5_9C_NEWSTRUCTURE,1346.9029641574182,1472.3886041180363,1409.6457841377273,1409.6457841377273,2,1339.2249329763563,1354.9613322411199,1346.7404556788756
31,5C_67PER_4C_NEWSTRUCTURE,11466.834798279788,12759.664428463995,12113.249613371892,12113.249613371892,2,10023.451580084886,13339.966791380077,11466.637949952295
32,5_3C_54PER_4C_NEWSTRUCTURE,12147.518736874255,13519.967512735284,12833.743124804769,12833.743124804769,2,10653.61239775008,13835.237301348305,12108.981915468348
33,5_6C_19PER_4_6C_NEWSTRUCTURE,9884.921196465288,10989.46364655173,10437.19242150851,10437.19242150851,2,8997.921357813015,10932.29424928516,9881.06805480333
34,5_6C_36PER_4_3C_NEWSTRUCTURE,7622.822531322857,8460.702893355116,8041.762712338987,8041.762712338987,2,7053.584334182228,8249.218140888806,7610.487094264638
35,3_7C_31PER_5_9C_NEWSTRUCTURE,965.4205251417762,1042.0566424835995,1003.7385838126879,1003.7385838126879,2,956.6292807522633,974.2611033098348,964.9777037939624
36,5_3C_54PER_4C_NEWSTRUCTURE,9793.914977423085,10884.357317804186,10339.136147613635,10339.136147613635,2,8980.874859904729,10816.419301058575,9783.024808258477
37,5C_67PER_4C_NEWSTRUCTURE,7641.31983806342,8482.631476228538,8061.975657145979,8061.975657145979,2,7222.309864338111,8111.480548924573,7617.4081918432
38,5_3C_54PER_4C_NEWSTRUCTURE,6221.775439151822,6901.333031623722,6561.554235387772,6561.554235387772,2,5962.232776666305,6508.467198117804,6224.426401910891
39,5_6C_19PER_4_6C_NEWSTRUCTURE,7316.597525352284,8123.365312009479,7719.981418680882,7719.981418680882,2,7045.362175529688,7618.717097296382,7318.087571272872
40,5_6C_36PER_4_3C_NEWSTRUCTURE,5796.033997979081,6429.006706719824,6112.520352349453,6112.520352349453,2,5524.0267570842725,6096.078670077282,5794.841068747088
41,4_8C_80PER_4_8C_NEWSTRUCTURE,6289.056333708941,8604.70013423349,7446.878233971215,7446.878233971215,2,5772.19701392886,6877.708987397601,6282.653162028161
42,5C_67PER_4C_NEWSTRUCTURE,11153.596720361833,12408.314843629856,11780.955781995845,11780.955781995845,2,10470.880335444888,11906.331464760407,11136.351420557576
43,5_3C_54PER_4C_NEWSTRUCTURE,7851.451734321814,8725.14375481501,8288.297744568412,8288.297744568412,2,7200.857811542924,8576.141446931573,7841.513275649057
44,5_6C_19PER_4_6C_NEWSTRUCTURE,6984.465193813763,7749.49502605792,7366.980109935841,7366.980109935841,2,6462.626393814914,7612.133879159207,6999.0166838969435
45,5_6C_36PER_4_3C_NEWSTRUCTURE,16141.09995516331,17977.97295219151,17059.53645367741,17059.53645367741,2,13738.60859480437,19554.777636979874,16120.470149789537
46,4_8C_80PER_4_8C_NEWSTRUCTURE,15459.663157497418,17210.96616588739,16335.314661692402,16335.314661692402,2,13765.310454074532,17672.614852223647,15373.849037228894
47,5C_67PER_4C_NEWSTRUCTURE,14393.383699027212,16017.54091330882,15205.462306168016,15205.462306168016,2,12757.212794623183,16354.509714311997,14385.240880809597
48,5_3C_54PER_4C_NEWSTRUCTURE,16730.381316434512,18643.901086730715,17687.141201582614,17687.141201582614,2,14389.469159395954,19767.050762385075,16713.839285963288
49,4_8C_80PER_4_8C_NEWSTRUCTURE,16796.768541973935,18719.51850634076,17758.14352415735,17758.14352415735,2,15153.287179155352,18698.355438258997,16884.626515627366
