C1,Q1,C2,near_policy,t_ch,slope,life,w_t0.5
4.1,70.0,3.6,3_6C-80PER_3_6C,12.138208852316435,2.7509272313743844e-05,7270.27591711608,0.3141985773654437
4.1,70.0,3.85,3_6C-80PER_3_6C,12.029983744091327,3.0550791239816435e-05,6546.475291917896,0.3073692339086186
4.1,70.0,4.1,3_6C-80PER_3_6C,11.93495681979611,3.3928590866888746e-05,5894.733464901486,0.3035481131884665
4.1,75.0,3.1,3_6C-80PER_3_6C,12.170991438206812,1.9034746208222472e-05,10507.100951711438,0.29303318323446326
4.1,75.0,3.35,3_6C-80PER_3_6C,12.098771890782642,2.131070184581434e-05,9384.956039788161,0.2892336081859989
4.1,75.0,3.6,3_6C-80PER_3_6C,12.036582836056274,2.3858790035509632e-05,8382.654765909547,0.2877712004132806
4.1,75.0,3.85,3_6C-80PER_3_6C,11.98247028194372,2.671154925244009e-05,7487.397983167527,0.2884538277770942
4.1,75.0,4.1,3_6C-80PER_3_6C,11.934956819796112,2.99054085476925e-05,6687.753477135895,0.29117259944222784
3.2,21.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,10.720695302180932,0.00034407126891761126,581.27492199266,1.0759683445746617
3.2,21.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,10.430626472289093,0.0003530369875709418,566.5128783703169,1.0601671679150564
3.2,21.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,10.165139746625377,0.00036223633256344195,552.1257312447311,1.0487609245490648
3.2,26.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,11.102639746625378,0.00030558131929414925,654.4902694378454,1.0146916046857515
3.2,26.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,10.837153020961662,0.00031608646769434845,632.7382550062138,1.0073020791167036
3.2,26.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,10.594165170354191,0.0003269527577479875,611.7091697821322,1.004388180716723
3.2,31.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,11.484584191069821,0.00027139709454762146,736.92756487821,0.9666594938428015
3.2,31.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,11.243679569634228,0.0002830033638880788,706.7053806437981,0.9663333591486543
3.2,31.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,11.023190594083005,0.00029510597416478594,677.7226403702721,0.9705871817776617
3.2,36.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,11.866528635514266,0.00024103692954473312,829.7483724911239,0.9303903855607955
3.2,36.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,11.650206118306794,0.0002533828941054674,789.3192660304549,0.9360158778166257
3.2,36.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,11.452216017811818,0.00026636122168718327,750.8600491211201,0.9463281885303206
3.2,41.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,12.24847307995871,0.0002140730412062616,934.2605629977384,0.9045683972976797
3.2,41.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,12.05673266697936,0.00022686264270220215,881.5907177037333,0.9152348261380272
3.2,41.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,11.88124144154063,0.00024041634744768474,831.8901860179061,0.9306817633632587
3.45,21.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,10.435369215224412,0.00026456940882539664,755.9452957465336,0.7887456729320923
3.45,21.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,10.145300385332572,0.000271463488913131,736.7473276083934,0.7665720305198296
3.45,21.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,9.879813659668855,0.00027853721312702203,718.03691059691,0.7486272693642132
3.45,26.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,10.749378877060161,0.00023722966213910436,843.0648941477058,0.7516077870688773
3.45,26.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,10.483892151396445,0.00024538504549649317,815.0455933259317,0.7369902645360872
3.45,26.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,10.240904300788975,0.00025382079125505153,787.9575152652891,0.7265998880776571
3.45,31.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,11.063388538895909,0.00021271511641685902,940.2246693556976,0.7231603632808272
3.45,31.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,10.822483917460314,0.00022181185688873465,901.6650543632755,0.715114789956834
3.45,31.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,10.601994941909092,0.00023129761854822768,864.6868102461598,0.7113190529425616
3.45,36.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,11.377398200731658,0.0001907338245320512,1048.5817106152124,0.7025053573353234
3.45,36.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,11.161075683524185,0.0002005032529870759,997.490050761878,0.7002052932866953
3.45,36.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,10.963085583029208,0.00021077307371689512,948.8878084523965,0.7021860989583505
3.45,41.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,11.691407862567406,0.00017102400822953487,1169.4264569660645,0.688837525985106
3.45,41.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,11.499667449588056,0.00018124168393110422,1103.498906333415,0.6915925800735119
3.45,41.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,11.324176224149328,0.0001920698054865812,1041.288085304865,0.6986554845708479
3.7,21.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,10.188600707586339,0.00020343742244569902,983.1032933647372,0.5637960064358222
3.7,21.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,9.898531877694499,0.00020873854130675596,958.1364263060838,0.5367223341482268
3.7,21.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,9.633045152030782,0.00021417779532918694,933.8036171891864,0.5137498594272275
3.7,26.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,10.443855962841596,0.00018416673090039645,1085.972471912784,0.5426921446215622
3.7,26.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,10.17836923717788,0.00019049793872081232,1049.880126488474,0.5224633652174029
3.7,26.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,9.935381386570409,0.00019704679818910935,1014.9873118367365,0.5062688304161352
3.7,31.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,10.69911121809685,0.00016672146335117957,1199.6055935445038,0.5272033800024957
3.7,31.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,10.458206596661254,0.00017385128989451216,1150.408490620657,0.513107479243872
3.7,31.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,10.237717621110033,0.00018128602274994287,1103.229013280689,0.5030026731532381
3.7,36.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,10.954366473352104,0.00015092870577689568,1325.1289671538163,0.5167978202416834
3.7,36.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,10.738043956144633,0.00015865930729193545,1260.5626698722256,0.5082262206721332
3.7,36.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,10.540053855649656,0.0001667858719173508,1199.1423356236562,0.5036142613937129
3.7,41.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,11.20962172860736,0.00013663192350649183,1463.7867554466313,0.5109939567174215
3.7,41.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,11.01788131562801,0.0001447948750085829,1381.2643575136533,0.507428574504931
3.7,41.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,10.84239009018928,0.00015344551471351456,1303.3942397951707,0.5077934339136732
3.95,21.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,9.973068719902454,0.0001564307265722592,1278.5211983760435,0.38696791665152075
3.95,21.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,9.682999890010613,0.00016050695731246328,1246.0519054675901,0.3561264261109739
3.95,21.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,9.417513164346897,0.00016468940540146723,1214.4072019232526,0.32928795231971913
3.95,26.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,10.177006835232973,0.00014297278200670725,1398.8676529398265,0.37606981328933
3.95,26.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,9.911520109569256,0.00014788784126372928,1352.3762216755792,0.351484888768561
3.95,26.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,9.668532258961786,0.00015297186839814033,1307.4299352836524,0.3307844550928018
3.95,31.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,10.380944950563492,0.00013067264240631865,1530.5422490662747,0.36873317697611585
3.95,31.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,10.140040329127899,0.00013626084476244576,1467.7730814650072,0.3498951616905755
3.95,31.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,9.919551353576676,0.00014208802602799057,1407.5781442737552,0.33484544502417724
3.95,36.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,10.584883065894012,0.00011943070026187625,1674.6112981122867,0.36465160993973067
3.95,36.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,10.36856054868654,0.0001255479670047019,1593.0166355661484,0.35111731043099154
3.95,36.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,10.170570448191565,0.0001319785614959277,1515.3976352907223,0.34128846063067586
3.95,41.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,10.788821181224534,0.00010915591743136287,1832.2414827007412,0.3635450742180399
3.95,41.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,10.597080768245183,0.00011567733963849545,1728.947092187824,0.3549302642782291
3.95,41.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,10.421589542806455,0.00012258837835570362,1631.4760231159767,0.34994402243714207
4.2,21.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,9.783195302180934,0.0001202855006799771,1662.7107911543349,0.24738753546288494
4.2,21.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,9.493126472289093,0.0001234198686281183,1620.4846287969128,0.21364882699745574
4.2,21.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,9.227639746625377,0.000126635911112083,1579.330841020158,0.18383764033844435
4.2,26.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,9.941925460911094,0.00011099299148548567,1801.9155743374447,0.24254161272275637
4.2,26.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,9.676438735247377,0.00011480866271051444,1742.0288267296712,0.2145749146150769
4.2,26.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,9.433450884639907,0.00011875550750517746,1684.1324179535882,0.1903764501365915
4.2,31.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,10.100655619641252,0.00010241836372010736,1952.774802637614,0.23990392982593983
4.2,31.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,9.859750998205657,0.00010679827470156396,1872.6894283533888,0.21734914872410785
4.2,31.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,9.639262022654435,0.00011136549213382356,1795.8884405563244,0.19842371912663387
4.2,36.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,10.25938577837141,9.450615833231127e-05,2116.264204674806,0.23930389190496001
4.2,36.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,10.043063261163937,9.934678455396817e-05,2013.1502081112044,0.2218425811237398
4.2,36.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,9.84507316066896,0.0001044353487156626,1915.0603934355915,0.20788557766960106
4.2,41.0,5.4,3_7C_31PER_5_9C_NEWSTRUCTURE,10.418115937101568,8.72052006917431e-05,2293.4411986157693,0.24058408319011962
4.2,41.0,5.65,3_7C_31PER_5_9C_NEWSTRUCTURE,10.226375524122217,9.241519705063208e-05,2164.1462268421587,0.22793526053985477
4.2,41.0,5.9,3_7C_31PER_5_9C_NEWSTRUCTURE,10.050884298683489,9.793645996064816e-05,2042.1403844938034,0.21867399752360714
4.3,70.0,4.3,4_8C_80PER_4_8C,11.390430444299797,3.22297619431214e-05,6205.444531453784,0.21688777651686386
4.3,70.0,4.55,4_8C_80PER_4_8C,11.313762925771814,3.5793194294759536e-05,5587.65441142206,0.21638334535676856
4.3,70.0,4.8,4_8C_80PER_4_8C,11.245081607090494,3.975061187492994e-05,5031.369092613559,0.21828517976460318
4.3,70.0,5.05,4_8C_80PER_4_8C,11.183200418971682,4.4145575033594144e-05,4530.465394273444,0.22254989533787128
4.3,70.0,5.3,4_8C_80PER_4_8C,11.127157078788608,4.902646030150261e-05,4079.429735902639,0.22918239008733035
4.3,75.0,4.3,4_8C_80PER_4_8C,11.390430444299797,2.8811617020377804e-05,6941.6444019280325,0.2063733886214376
4.3,75.0,4.55,4_8C_80PER_4_8C,11.352096685035805,3.2256578222820343e-05,6200.2856787366045,0.2112373994654647
4.3,75.0,4.8,4_8C_80PER_4_8C,11.317756025695147,3.6113448193796656e-05,5538.103116787246,0.21796563613135816
4.3,75.0,5.05,4_8C_80PER_4_8C,11.286815431635741,4.043147823792976e-05,4946.64080356021,0.2266209090119703
4.3,75.0,5.3,4_8C_80PER_4_8C,11.258793761544203,4.5265808563386683e-05,4418.345907152762,0.23730087686533358
4.55,70.0,4.3,4_8C_80PER_4_8C,10.853757814603913,2.7216221527515785e-05,7348.55864535783,0.12120575670727818
4.55,70.0,4.55,4_8C_80PER_4_8C,10.77709029607593,3.0225339759653347e-05,6616.964493711743,0.11899622708001123
4.55,70.0,4.8,4_8C_80PER_4_8C,10.70840897739461,3.356715636161531e-05,5958.205033677022,0.11900444152146591
4.55,70.0,5.05,4_8C_80PER_4_8C,10.646527789275797,3.727845559933756e-05,5365.0291243168895,0.1211661720495236
4.55,70.0,5.3,4_8C_80PER_4_8C,10.590484449092724,4.14000887325955e-05,4830.907520314906,0.12546316855810105
4.55,75.0,4.3,4_8C_80PER_4_8C,10.81542405533992,2.4563448486742398e-05,8142.179226501758,0.10731282641349794
4.55,75.0,4.55,4_8C_80PER_4_8C,10.777090296075928,2.750046264235785e-05,7272.6049230876615,0.11061436626773757
4.55,75.0,4.8,4_8C_80PER_4_8C,10.742749636735269,3.078865111109729e-05,6495.90004051568,0.11559330966531842
4.55,75.0,5.05,4_8C_80PER_4_8C,10.711809042675863,3.447000327117383e-05,5802.146243695128,0.12229012894354889
4.55,75.0,5.3,4_8C_80PER_4_8C,10.683787372584325,3.859152910685579e-05,5182.484463007971,0.13077747387761246
4.8,70.0,4.3,4_8C_80PER_4_8C,10.372988583834681,2.2982568581860225e-05,8702.24750064955,0.036283139034413596
4.8,70.0,4.55,4_8C_80PER_4_8C,10.296321065306698,2.5523599711810027e-05,7835.885308429202,0.032633749637450936
4.8,70.0,4.8,4_8C_80PER_4_8C,10.227639746625378,2.834557590585811e-05,7055.774794071709,0.031042908504592542
4.8,70.0,5.05,4_8C_80PER_4_8C,10.165758558506566,3.1479559408032464e-05,6353.329073245133,0.03142878642286337
4.8,70.0,5.3,4_8C_80PER_4_8C,10.109715218323492,3.496004680995193e-05,5720.816138697699,0.033753586003237274
4.8,75.0,4.3,4_8C_80PER_4_8C,10.300314165230029,2.0941657010576682e-05,9550.342644757722,0.019136633962090262
4.8,75.0,4.55,4_8C_80PER_4_8C,10.261980405966037,2.344561907092435e-05,8530.378293487942,0.021106083512529114
4.8,75.0,4.8,4_8C_80PER_4_8C,10.227639746625378,2.624897606437095e-05,7619.344827376715,0.024593660595820112
4.8,75.0,5.05,4_8C_80PER_4_8C,10.196699152565973,2.9387526187456405e-05,6805.608567534576,0.02962079315907922
4.8,75.0,5.3,4_8C_80PER_4_8C,10.168677482474434,3.2901347972604645e-05,6078.7782970634,0.03623880947854311
5.05,70.0,4.3,4_8C_80PER_4_8C,9.939820267002997,1.940748674777998e-05,10305.301381843168,-0.039494899604640026
5.05,70.0,4.55,4_8C_80PER_4_8C,9.863152748475013,2.155324464270565e-05,9279.34532899606,-0.04436016960691881
5.05,70.0,4.8,4_8C_80PER_4_8C,9.794471429793694,2.393624484537951e-05,8355.529503142037,-0.047301323249752114
5.05,70.0,5.05,4_8C_80PER_4_8C,9.732590241674881,2.658271767410485e-05,7523.6852172878835,-0.0484150529957722
5.05,70.0,5.3,4_8C_80PER_4_8C,9.676546901491808,2.9521793560595685e-05,6774.656139691685,-0.04775566281521333
5.05,75.0,4.3,4_8C_80PER_4_8C,9.836205254338939,1.78538855643716e-05,11202.043346749735,-0.059769620587751184
5.05,75.0,4.55,4_8C_80PER_4_8C,9.797871495074947,1.9988647491777733e-05,10005.679477927128,-0.05893584945251374
5.05,75.0,4.8,4_8C_80PER_4_8C,9.763530835734288,2.2378659654224888e-05,8937.085736600038,-0.056719742124287785
5.05,75.0,5.05,4_8C_80PER_4_8C,9.732590241674883,2.505444193388466e-05,7982.616436948522,-0.05311610701982045
5.05,75.0,5.3,4_8C_80PER_4_8C,9.704568571583344,2.805016342879531e-05,7130.083234905044,-0.04809179358405949
5.3,70.0,4.3,4_8C_80PER_4_8C,9.547516885721473,1.6388531182826124e-05,12203.656189127192,-0.10745085939778432
5.3,70.0,4.55,4_8C_80PER_4_8C,9.47084936719349,1.8200503058875825e-05,10988.70725457592,-0.11334287219647884
5.3,70.0,4.8,4_8C_80PER_4_8C,9.402168048512172,2.021281272255083e-05,9894.713949279607,-0.11742428881946373
5.3,70.0,5.05,4_8C_80PER_4_8C,9.340286860393359,2.2447610202602115e-05,8909.634397376347,-0.11980435290787608
5.3,70.0,5.3,4_8C_80PER_4_8C,9.284243520210284,2.4929494510468884e-05,8022.625565713419,-0.12055130731153635
5.3,75.0,4.3,4_8C_80PER_4_8C,9.415880202965878,1.5221394829677745e-05,13139.400313698732,-0.13072747335561094
5.3,75.0,4.55,4_8C_80PER_4_8C,9.377546443701887,1.7041393845984663e-05,11736.129204426816,-0.13086192896827112
5.3,75.0,4.8,4_8C_80PER_4_8C,9.343205784361228,1.907900737504956e-05,10482.725650682887,-0.12972981778676942
5.3,75.0,5.05,4_8C_80PER_4_8C,9.312265190301822,2.136025525300358e-05,9363.183989661216,-0.12733979059869627
5.3,75.0,5.3,4_8C_80PER_4_8C,9.284243520210284,2.391426846818755e-05,8363.207942825185,-0.12367419433105933
4.5,57.0,3.5,5C_67PER_4C_NEWSTRUCTURE,11.77049688948252,2.8243224190090856e-05,7081.344490058967,0.26146443175485934
4.5,57.0,3.75,5C_67PER_4C_NEWSTRUCTURE,11.507639746625378,3.071416040900152e-05,6511.654472618604,0.229754517918448
4.5,57.0,4.0,5C_67PER_4C_NEWSTRUCTURE,11.277639746625377,3.34012732852523e-05,5987.795683474924,0.20362340443035112
4.5,57.0,4.25,5C_67PER_4C_NEWSTRUCTURE,11.074698570154789,3.632347562882247e-05,5506.081027149868,0.1822621215976634
4.5,57.0,4.5,5C_67PER_4C_NEWSTRUCTURE,10.894306413292044,3.950133488893712e-05,5063.120032837491,0.1650594886953678
4.5,62.0,3.5,5C_67PER_4C_NEWSTRUCTURE,11.58002069900633,2.479260829970102e-05,8066.920494299579,0.22236419084950074
4.5,62.0,3.75,5C_67PER_4C_NEWSTRUCTURE,11.374306413292043,2.718027808939727e-05,7358.276443757866,0.198943936433245
4.5,62.0,4.0,5C_67PER_4C_NEWSTRUCTURE,11.194306413292043,2.979789411773507e-05,6711.88370593492,0.18007661439905126
4.5,62.0,4.25,5C_67PER_4C_NEWSTRUCTURE,11.03548288388028,3.266760152090256e-05,6122.273772441752,0.1651517079540324
4.5,62.0,4.5,5C_67PER_4C_NEWSTRUCTURE,10.894306413292044,3.581367813819161e-05,5584.458519682751,0.15371606868864562
4.5,67.0,3.5,5C_67PER_4C_NEWSTRUCTURE,11.38954450853014,2.176357140266097e-05,9189.668198278641,0.18456074840202763
4.5,67.0,3.75,5C_67PER_4C_NEWSTRUCTURE,11.240973079958712,2.4052994032044532e-05,8314.973168560662,0.16938407191398297
4.5,67.0,4.0,5C_67PER_4C_NEWSTRUCTURE,11.110973079958711,2.658325286790171e-05,7523.53374486734,0.1577256020040339
4.5,67.0,4.25,5C_67PER_4C_NEWSTRUCTURE,10.996267197605771,2.937968271631159e-05,6807.425455583973,0.14917314356630576
4.5,67.0,4.5,5C_67PER_4C_NEWSTRUCTURE,10.894306413292046,3.24702834826274e-05,6159.4780996293475,0.14343161642268382
4.5,72.0,3.5,5C_67PER_4C_NEWSTRUCTURE,11.19906831805395,1.9104607085831847e-05,10468.679052202118,0.1478956680619972
4.5,72.0,3.75,5C_67PER_4C_NEWSTRUCTURE,11.107639746625377,2.1285526218778957e-05,9396.05617189543,0.14093102048981038
4.5,72.0,4.0,5C_67PER_4C_NEWSTRUCTURE,11.027639746625377,2.3715411909535204e-05,8433.334439347707,0.13644136497084108
4.5,72.0,4.25,5C_67PER_4C_NEWSTRUCTURE,10.95705151133126,2.6422685361789818e-05,7569.25336170496,0.13421251041542964
4.5,72.0,4.5,5C_67PER_4C_NEWSTRUCTURE,10.894306413292044,2.9439012250402238e-05,6793.70619838875,0.13410727170581885
4.5,77.0,3.5,5C_67PER_4C_NEWSTRUCTURE,11.008592127577758,1.6770501732054507e-05,11925.701639428446,0.11222987043994173
4.5,77.0,3.75,5C_67PER_4C_NEWSTRUCTURE,10.974306413292044,1.8836475234921772e-05,10617.69771178905,0.11345743545237752
4.5,77.0,4.0,5C_67PER_4C_NEWSTRUCTURE,10.944306413292043,2.1156957910069285e-05,9453.154884087258,0.11610881798274325
4.5,77.0,4.25,5C_67PER_4C_NEWSTRUCTURE,10.91783582505675,2.3763302976057192e-05,8416.33842742782,0.12016735606842573
4.5,77.0,4.5,5C_67PER_4C_NEWSTRUCTURE,10.894306413292044,2.669072608322069e-05,7493.239388707803,0.1256534034636885
4.75,57.0,3.5,5C_67PER_4C_NEWSTRUCTURE,11.37049688948252,2.326443353307331e-05,8596.8136604605,0.18632887969997092
4.75,57.0,3.75,5C_67PER_4C_NEWSTRUCTURE,11.107639746625377,2.5299786545265144e-05,7905.205035709284,0.15327908973200569
4.75,57.0,4.0,5C_67PER_4C_NEWSTRUCTURE,10.877639746625377,2.7513208018842327e-05,7269.235919818245,0.12569087736044746
4.75,57.0,4.25,5C_67PER_4C_NEWSTRUCTURE,10.67469857015479,2.9920276763353136e-05,6684.430146881643,0.10274501733723829
4.75,57.0,4.5,5C_67PER_4C_NEWSTRUCTURE,10.494306413292044,3.2537934543385824e-05,6146.671655919696,0.08381917614673273
